snapshot_month,region_level,region_name,indicator,current_value,current_signal,prev_1m_signal,prev_2m_value,prev_2m_signal,collected_at
2026-02,gyeonggi_city,가평군,사업장 성립,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,가평군,사업장 소멸,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,가평군,사업장수,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,가평군,상실자수,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,가평군,취득자수,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,가평군,피보험자수,13589,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,사업장 성립,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,사업장 소멸,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,사업장수,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,상실자수,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,취득자수,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,고양시,피보험자수,188692,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,사업장 성립,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,사업장 소멸,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,사업장수,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,상실자수,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,취득자수,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,과천시,피보험자수,56486,정상,정상,,정상,2026-02-12T08:30:43
2026-02,gyeonggi_city,광명시,사업장 성립,68592,주의,주의,,주의,2026-02-12T08:30:43
2026-02,gyeonggi_city,광명시,사업장 소멸,68592,주의,주의,,주의,2026-02-12T08:30:43
2026-02,gyeonggi_city,광명시,사업장수,68592,주의,주의,,주의,2026-02-12T08:30:43
